country,year,Life expectancy at birth
Aruba,2020,76.434
Afghanistan,2020,65.173
Angola,2020,61.487
Albania,2020,78.686
Andorra,2020,
United Arab Emirates,2020,78.12
Argentina,2020,76.813
Armenia,2020,75.224
American Samoa,2020,
Antigua and Barbuda,2020,77.146
Australia,2020,83.2
Austria,2020,81.19268293
Azerbaijan,2020,73.123
Burundi,2020,61.916
Belgium,2020,80.79512195
Benin,2020,62.077
Burkina Faso,2020,61.981
Bangladesh,2020,72.868
Bulgaria,2020,73.60731707
Bahrain,2020,77.419
The Bahamas,2020,74.053
Bosnia and Herzegovina,2020,77.545
Belarus,2020,74.22682927
Belize,2020,74.754
Bermuda,2020,82.05609756
Bolivia,2020,71.771
Brazil,2020,76.084
Barbados,2020,79.308
Brunei Darussalam,2020,75.998
Bhutan,2020,72.08
Botswana,2020,69.793
Central African Rep.,2020,53.679
Canada,2020,81.74878049
Switzerland,2020,83.1
Channel Islands,2020,83.24
Chile,2020,80.329
China,2020,77.097
Côte d'Ivoire,2020,58.104
Cameroon,2020,59.626
Dem. Rep. Congo,2020,60.971
Congo,2020,64.804
Colombia,2020,77.46
Comoros,2020,64.525
Cabo Verde,2020,73.166
Costa Rica,2020,80.465
Cuba,2020,78.892
Curacao,2020,
Cayman Islands,2020,
Cyprus,2020,81.135
Czechia,2020,78.22682927
Germany,2020,80.94146341
Djibouti,2020,67.49
Dominica,2020,
Denmark,2020,81.55121951
Dominican Republic,2020,74.257
Algeria,2020,77.063
Ecuador,2020,77.216
Egypt,2020,72.15
Eritrea,2020,66.679
Spain,2020,82.33414634
Estonia,2020,78.34634146
Ethiopia,2020,66.953
Finland,2020,82.13170732
Fiji,2020,67.561
France,2020,82.17560976
Faroe Islands,2020,83.09268293
"Micronesia, Fed. Sts.",2020,68.002
Gabon,2020,66.69
United Kingdom,2020,80.90243902
Georgia,2020,73.919
Ghana,2020,64.347
Gibraltar,2020,
Guinea,2020,61.962
Gambia,2020,62.383
Guinea-Bissau,2020,58.634
Equatorial Guinea,2020,59.057
Greece,2020,81.08780488
Grenada,2020,72.426
Greenland,2020,71.40463415
Guatemala,2020,74.529
Guam,2020,80.277
Guyana,2020,70.023
"Hong Kong SAR, China",2020,85.38780488
Honduras,2020,75.448
Croatia,2020,77.72439024
Haiti,2020,64.315
Hungary,2020,75.61707317
Indonesia,2020,71.908
Isle of Man,2020,
India,2020,69.887
Ireland,2020,82.20487805
Iran,2020,76.87
Iraq,2020,70.748
Iceland,2020,83.06585366
Israel,2020,82.7
Italy,2020,82.34390244
Jamaica,2020,74.586
Jordan,2020,74.655
Japan,2020,84.61560976
Kazakhstan,2020,71.37
Kenya,2020,66.991
Kyrgyzstan,2020,71.8
Cambodia,2020,70.054
Kiribati,2020,68.611
St. Kitts and Nevis,2020,
South Korea,2020,83.42682927
Kuwait,2020,75.586
Lao PDR,2020,68.219
Lebanon,2020,79.004
Liberia,2020,64.423
Libya,2020,73.082
St. Lucia,2020,76.343
Liechtenstein,2020,81.80731707
Sri Lanka,2020,77.144
Lesotho,2020,54.836
Lithuania,2020,74.92926829
Luxembourg,2020,81.74146341
Latvia,2020,75.38780488
"Macao SAR, China",2020,84.37
St. Martin (French part),2020,80.12195122
Morocco,2020,76.901
Monaco,2020,
Moldova,2020,72.006
Madagascar,2020,67.39
Maldives,2020,79.208
Mexico,2020,75.131
Marshall Islands,2020,
North Macedonia,2020,75.69317073
Mali,2020,59.692
Malta,2020,82.65365854
Myanmar,2020,67.363
Montenegro,2020,75.93170732
Mongolia,2020,70.056
Northern Mariana Islands,2020,
Mozambique,2020,61.387
Mauritania,2020,65.129
Mauritius,2020,74.17707317
Malawi,2020,64.694
Malaysia,2020,76.306
Namibia,2020,64.045
New Caledonia,2020,77.77117073
Niger,2020,62.792
Nigeria,2020,55.018
Nicaragua,2020,74.697
Netherlands,2020,81.4097561
Norway,2020,83.2097561
Nepal,2020,71.067
Nauru,2020,
New Zealand,2020,82.05609756
Oman,2020,78.078
Pakistan,2020,67.428
Panama,2020,78.68
Peru,2020,76.947
Philippines,2020,71.36
Palau,2020,
Papua New Guinea,2020,64.725
Poland,2020,76.6
Puerto Rico,2020,80.08746341
North Korea,2020,72.453
Portugal,2020,80.97560976
Paraguay,2020,74.363
French Polynesia,2020,77.836
Qatar,2020,80.363
Romania,2020,74.35365854
Russia,2020,71.33878049
Rwanda,2020,69.329
Saudi Arabia,2020,75.28
Sudan,2020,65.53
Senegal,2020,68.213
Singapore,2020,83.74390244
Solomon Is.,2020,73.132
Sierra Leone,2020,55.066
El Salvador,2020,73.533
San Marino,2020,
Somalia,2020,57.697
Serbia,2020,74.22926829
S. Sudan,2020,58.095
Sao Tome and Principe,2020,70.583
Suriname,2020,71.802
Slovak Republic,2020,76.86585366
Slovenia,2020,80.53170732
Sweden,2020,82.40731707
Eswatini,2020,60.721
Sint Maarten (Dutch part),2020,
Seychelles,2020,77.23658537
Syria,2020,73.651
Turks and Caicos Islands,2020,
Chad,2020,54.505
Togo,2020,61.34
Thailand,2020,77.344
Tajikistan,2020,71.301
Turkmenistan,2020,68.313
Timor-Leste,2020,69.712
Tonga,2020,71.018
Trinidad and Tobago,2020,73.628
Tunisia,2020,76.891
Turkey,2020,77.928
Tuvalu,2020,
Tanzania,2020,65.815
Uganda,2020,63.713
Ukraine,2020,71.18512195
Uruguay,2020,78.056
United States of America,2020,77.2804878
Uzbekistan,2020,71.848
St. Vincent and the Grenadines,2020,72.658
Venezuela,2020,72.066
British Virgin Islands,2020,
Virgin Islands (U.S.),2020,79.8195122
Vietnam,2020,75.493
Vanuatu,2020,70.623
Samoa,2020,73.45
Kosovo,2020,71.08780488
Yemen,2020,66.181
South Africa,2020,64.379
Zambia,2020,64.194
Zimbabwe,2020,61.738
