Economy,Year,Economy Code,"Prevalence of obesity, male (% of male population ages 18+)"
Aruba,2016,ABW,
Afghanistan,2016,AFG,3.2
Angola,2016,AGO,4
Albania,2016,ALB,21.6
Andorra,2016,AND,25.9
United Arab Emirates,2016,ARE,27.5
Argentina,2016,ARG,27.3
Armenia,2016,ARM,17.1
American Samoa,2016,ASM,
Antigua and Barbuda,2016,ATG,11.6
Australia,2016,AUS,29.6
Austria,2016,AUT,21.9
Azerbaijan,2016,AZE,15.8
Burundi,2016,BDI,2.1
Belgium,2016,BEL,23.1
Benin,2016,BEN,4.7
Burkina Faso,2016,BFA,2.6
Bangladesh,2016,BGD,2.3
Bulgaria,2016,BGR,25.5
Bahrain,2016,BHR,25.5
"Bahamas, The",2016,BHS,24.4
Bosnia and Herzegovina,2016,BIH,17.1
Belarus,2016,BLR,22.1
Belize,2016,BLZ,16.5
Bermuda,2016,BMU,
Bolivia,2016,BOL,14.5
Brazil,2016,BRA,18.5
Barbados,2016,BRB,14.7
Brunei Darussalam,2016,BRN,12.5
Bhutan,2016,BTN,4.7
Botswana,2016,BWA,8.1
Central African Republic,2016,CAF,3.7
Canada,2016,CAN,29.5
Switzerland,2016,CHE,22.2
Channel Islands,2016,CHI,
Chile,2016,CHL,24.9
China,2016,CHN,5.9
Cote d'Ivoire,2016,CIV,5.8
Cameroon,2016,CMR,6.1
"Congo, Dem. Rep.",2016,COD,3.6
"Congo, Rep.",2016,COG,5.5
Colombia,2016,COL,17.6
Comoros,2016,COM,3.3
Cabo Verde,2016,CPV,6.9
Costa Rica,2016,CRI,21.1
Cuba,2016,CUB,18.9
Curacao,2016,CUW,
Cayman Islands,2016,CYM,
Cyprus,2016,CYP,21.9
Czech Republic,2016,CZE,26.4
Germany,2016,DEU,24.2
Djibouti,2016,DJI,8.6
Dominica,2016,DMA,19.9
Denmark,2016,DNK,22.3
Dominican Republic,2016,DOM,21
Algeria,2016,DZA,19.9
Ecuador,2016,ECU,14.9
"Egypt, Arab Rep.",2016,EGY,22.7
Eritrea,2016,ERI,2
Spain,2016,ESP,24.6
Estonia,2016,EST,20.3
Ethiopia,2016,ETH,1.9
Finland,2016,FIN,23.7
Fiji,2016,FJI,25.1
France,2016,FRA,22
Faroe Islands,2016,FRO,
"Micronesia, Fed. Sts.",2016,FSM,40.1
Gabon,2016,GAB,9.6
United Kingdom,2016,GBR,26.9
Georgia,2016,GEO,19.2
Ghana,2016,GHA,4.5
Gibraltar,2016,GIB,
Guinea,2016,GIN,3.7
"Gambia, The",2016,GMB,5.6
Guinea-Bissau,2016,GNB,5
Equatorial Guinea,2016,GNQ,3.8
Greece,2016,GRC,24.2
Grenada,2016,GRD,13.3
Greenland,2016,GRL,
Guatemala,2016,GTM,15.1
Guam,2016,GUM,
Guyana,2016,GUY,12.7
"Hong Kong SAR, China",2016,HKG,
Honduras,2016,HND,15.6
Croatia,2016,HRV,24.1
Haiti,2016,HTI,17.9
Hungary,2016,HUN,28.2
Indonesia,2016,IDN,4.8
Isle of Man,2016,IMN,
India,2016,IND,2.7
Ireland,2016,IRL,25.1
"Iran, Islamic Rep.",2016,IRN,19.3
Iraq,2016,IRQ,23.4
Iceland,2016,ISL,24.2
Israel,2016,ISR,25.9
Italy,2016,ITA,20.1
Jamaica,2016,JAM,15.3
Jordan,2016,JOR,28.2
Japan,2016,JPN,4.8
Kazakhstan,2016,KAZ,18.9
Kenya,2016,KEN,2.8
Kyrgyz Republic,2016,KGZ,14
Cambodia,2016,KHM,2.7
Kiribati,2016,KIR,41.6
St. Kitts and Nevis,2016,KNA,15.3
"Korea, Rep.",2016,KOR,4.4
Kuwait,2016,KWT,33.3
Lao PDR,2016,LAO,3.7
Lebanon,2016,LBN,27.4
Liberia,2016,LBR,5.5
Libya,2016,LBY,25
St. Lucia,2016,LCA,12
Liechtenstein,2016,LIE,
Sri Lanka,2016,LKA,2.9
Lesotho,2016,LSO,4.6
Lithuania,2016,LTU,24.2
Luxembourg,2016,LUX,24.5
Latvia,2016,LVA,21.6
"Macao SAR, China",2016,MAC,
St. Martin (French part),2016,MAF,
Morocco,2016,MAR,19.4
Monaco,2016,MCO,
Moldova,2016,MDA,16.2
Madagascar,2016,MDG,3
Maldives,2016,MDV,5.8
Mexico,2016,MEX,24.3
Marshall Islands,2016,MHL,48.4
North Macedonia,2016,MKD,22.6
Mali,2016,MLI,4.6
Malta,2016,MLT,29.2
Myanmar,2016,MMR,4
Montenegro,2016,MNE,23.3
Mongolia,2016,MNG,17.5
Northern Mariana Islands,2016,MNP,
Mozambique,2016,MOZ,3.3
Mauritania,2016,MRT,6.6
Mauritius,2016,MUS,5.6
Malawi,2016,MWI,2.2
Malaysia,2016,MYS,13
Namibia,2016,NAM,7.5
New Caledonia,2016,NCL,
Niger,2016,NER,2.5
Nigeria,2016,NGA,4.6
Nicaragua,2016,NIC,17.9
Netherlands,2016,NLD,20.8
Norway,2016,NOR,23.6
Nepal,2016,NPL,2.7
Nauru,2016,NRU,58.7
New Zealand,2016,NZL,30.1
Oman,2016,OMN,22.9
Pakistan,2016,PAK,6
Panama,2016,PAN,17.8
Peru,2016,PER,15.2
Philippines,2016,PHL,5.2
Palau,2016,PLW,51.8
Papua New Guinea,2016,PNG,16.6
Poland,2016,POL,23.7
Puerto Rico,2016,PRI,
"Korea, Dem. People's Rep.",2016,PRK,6.1
Portugal,2016,PRT,20.3
Paraguay,2016,PRY,17.1
West Bank and Gaza,2016,PSE,
French Polynesia,2016,PYF,
Qatar,2016,QAT,32.5
Romania,2016,ROU,23.4
Russian Federation,2016,RUS,18.1
Rwanda,2016,RWA,1.9
Saudi Arabia,2016,SAU,30.8
Sudan,2016,SDN,
Senegal,2016,SEN,4
Singapore,2016,SGP,5.8
Solomon Islands,2016,SLB,17.9
Sierra Leone,2016,SLE,3.8
El Salvador,2016,SLV,18.9
San Marino,2016,SMR,
Somalia,2016,SOM,3.9
Serbia,2016,SRB,21.1
South Sudan,2016,SSD,
Sao Tome and Principe,2016,STP,7.2
Suriname,2016,SUR,18.9
Slovak Republic,2016,SVK,21
Slovenia,2016,SVN,19.4
Sweden,2016,SWE,23.1
Eswatini,2016,SWZ,5.4
Sint Maarten (Dutch part),2016,SXM,
Seychelles,2016,SYC,7.6
Syrian Arab Republic,2016,SYR,20.9
Turks and Caicos Islands,2016,TCA,
Chad,2016,TCD,3.1
Togo,2016,TGO,3.9
Thailand,2016,THA,7
Tajikistan,2016,TJK,11.6
Turkmenistan,2016,TKM,15.9
Timor-Leste,2016,TLS,2.6
Tonga,2016,TON,41.4
Trinidad and Tobago,2016,TTO,10.8
Tunisia,2016,TUN,19.1
Turkiye,2016,TUR,24.4
Tuvalu,2016,TUV,47
Tanzania,2016,TZA,4
Uganda,2016,UGA,1.8
Ukraine,2016,UKR,22
Uruguay,2016,URY,24.9
United States,2016,USA,35.5
Uzbekistan,2016,UZB,13.8
St. Vincent and the Grenadines,2016,VCT,16.6
"Venezuela, RB",2016,VEN,22.4
British Virgin Islands,2016,VGB,
Virgin Islands (U.S.),2016,VIR,
Vietnam,2016,VNM,1.6
Vanuatu,2016,VUT,20.2
Samoa,2016,WSM,39.9
Kosovo,2016,XKX,
"Yemen, Rep.",2016,YEM,12
South Africa,2016,ZAF,15.4
Zambia,2016,ZMB,3.6
Zimbabwe,2016,ZWE,4.7
